V 0.00239    Installer: force directories
V 0.01198      DB [29]: SHOW CREATE TABLE `e2BlogGIPsSessions`
V 0.01204      Will run some query
V 0.01207      DB [30]: SHOW INDEX FROM `e2BlogGIPsSessions`
V 0.01218      Will run some query
V 0.0122       DB [31]: UPDATE `e2BlogGIPsSessions` SET `SubsetID` = 1 WHERE `SubsetID` = 0
V 0.01232      Will run some query
V 0.01235      DB [32]: SHOW TABLES LIKE 'e2BlogKeywords'
V 0.01246      Will run some query
V 0.0125       DB [33]: SHOW CREATE TABLE `e2BlogKeywords`
V 0.01259      Will run some query
V 0.01262      DB [34]: SHOW INDEX FROM `e2BlogKeywords`
V 0.01275      Will run some query
V 0.01278      DB [35]: UPDATE `e2BlogKeywords` SET `SubsetID` = 1 WHERE `SubsetID` = 0
V 0.01292      Will run some query
V 0.01295      DB [36]: SHOW TABLES LIKE 'e2BlogNotes'
V 0.01308      Will run some query
V 0.01311      DB [37]: SHOW CREATE TABLE `e2BlogNotes`
V 0.01321      Will run some query
V 0.01325      DB [38]: SHOW INDEX FROM `e2BlogNotes`
V 0.01344      Will run some query
V 0.01347      DB [39]: UPDATE `e2BlogNotes` SET `SubsetID` = 1 WHERE `SubsetID` = 0
V 0.01361      Will run some query
V 0.01364      DB [40]: SHOW TABLES LIKE 'e2BlogNotesKeywords'
V 0.01379      Will run some query
V 0.01381      DB [41]: SHOW CREATE TABLE `e2BlogNotesKeywords`
V 0.01388      Will run some query
V 0.0139       DB [42]: SHOW INDEX FROM `e2BlogNotesKeywords`
V 0.01401      Will run some query
V 0.01405      DB [43]: UPDATE `e2BlogNotesKeywords` SET `SubsetID` = 1 WHERE `SubsetID` = 0
V 0.01417      Will run some query
V 0.01419      DB [44]: SHOW TABLES LIKE 'e2BlogSources'
V 0.01429      Will run some query
V 0.01432      DB [45]: SHOW CREATE TABLE `e2BlogSources`
V 0.01439      Will run some query
V 0.01441      DB [46]: SHOW INDEX FROM `e2BlogSources`
V 0.01452      Will run some query
V 0.01454      DB [47]: UPDATE `e2BlogSources` SET `SubsetID` = 1 WHERE `SubsetID` = 0
V 0.01466    }
V 0.0147     Will run some query
V 0.01472    DB [48]: UPDATE `e2BlogAliases` SET `EntityType` = 'n' WHERE `EntityType` = ''
V 0.01484    Will clean up “leaked” tag aliases
V 0.01487    DB [49]: DELETE FROM `e2BlogAliases` WHERE `ID` IN (SELECT `ID` FROM (SELECT a.`ID` FROM `e2BlogAliases` a LEFT OUTER JOIN `e2BlogKeywords` e ON a.`EntityID` = e.`ID` WHERE a.`EntityType` = 't' AND e.`ID` IS NULL) AS temp)
V 0.01519    Will run some query
V 0.01521    DB [50]: UPDATE `e2BlogKeywords` SET `Summary` = '' WHERE `Summary` IS NULL
V 0.01534    Will run some query
V 0.01536    DB [51]: UPDATE `e2BlogKeywords` SET `Uploads` = '' WHERE `Uploads` IS NULL
V 0.01546    Will run some query
V 0.01548    DB [52]: ALTER TABLE `e2BlogNotes` CHANGE `FormatterID` `FormatterID` VARCHAR( 32 ) DEFAULT 'neasden' NOT NULL
V 0.01736    Will run some query
V 0.01739    DB [53]: UPDATE `e2BlogNotes` SET `Summary` = '' WHERE `Summary` IS NULL
V 0.01757    Will run some query
V 0.0176     DB [54]: UPDATE `e2BlogNotes` SET `Uploads` = '' WHERE `Uploads` IS NULL
V 0.01775    Will run some query
V 0.01779    DB [55]: UPDATE `e2BlogNotes` SET `SourceNoteData` = '' WHERE `SourceNoteData` IS NULL
V 0.0179     Ensure indexes {
V 0.01796    }
V 0.01798    Installer: write settings
V 0.01807    Caches: Drop all kinds of caches
V 0.01812    Installer: search index
V 0.08968    Installer: instantiate
V 0.08986    Installer: complete
V 0.09005    Spawn: Curl https://marsprivet.ru/blog/settings/underhood/index/ using get...
V 0.25132    Spawn: Curl returns: [Array
(
    [url] => https://marsprivet.ru/blog/settings/underhood/index/
    [content_type] => text/html; charset=UTF-8
    [http_code] => 200
    [header_size] => 192
    [request_size] => 123
    [filetime] => -1
    [ssl_verify_result] => 0
    [redirect_count] => 0
    [total_time] => 0.159763
    [namelookup_time] => 0.12481
    [connect_time] => 0.124899
    [pretransfer_time] => 0.133185
    [size_upload] => 0
    [size_download] => 91
    [speed_download] => 572
    [speed_upload] => 0
    [download_content_length] => 91
    [upload_content_length] => -1
    [starttransfer_time] => 0.159725
    [redirect_time] => 0
    [redirect_url] => 
    [primary_ip] => 2a03:6f00:6:1::b972:f5c1
    [certinfo] => Array
        (
        )

    [primary_port] => 443
    [local_ip] => 2a03:6f00:6:1::b972:f5c1
    [local_port] => 48910
)
] [<pre>No old lock<br />New lock is 1612619165<br /><br />Indexing complete<br /><br /></pre>], (errno=0, errstr=)...
